案件ID,病害小类,病害大类,道路名称,里程km,数据来源,采集日期,星期,审核结论,驳回原因,事件等级,审核时滞天
2026000035,路框差,人行道,深惠路,21.5,作业车,2026-08-05,周三,审核通过,,轻微,0
2026000036,路框差,人行道,红棉路,18.2,作业车,2026-08-30,周日,审核通过,,轻微,0
2026000037,路框差,人行道,龙岗大道,32.6,作业车,2026-08-05,周三,审核通过,,轻微,0
2026000038,路框差,人行道,深惠路,21.5,作业车,2026-08-05,周三,审核通过,,轻微,0
2026000039,路框差,人行道,红棉路,18.2,作业车,2026-08-09,周日,审核通过,,轻微,0
2026000040,路框差,人行道,黄阁路,11.2,四轮专车,2026-08-12,周三,驳回,超过时效,轻微,1
2026000041,路框差,人行道,深惠路,21.5,作业车,2026-08-28,周五,审核通过,,轻微,0
2026000042,路框差,人行道,爱南路,10.4,两轮车,2026-08-20,周四,驳回,超过时效,轻微,1
2026000043,路框差,人行道,清林路,9.8,两轮车,2026-09-01,周二,审核通过,,轻微,0
2026000044,路框差,人行道,沙荷路,12.4,两轮车,2026-08-06,周四,驳回,AI误报,轻微,0
2026000045,路框差,人行道,爱南路,10.4,两轮车,2026-09-03,周四,审核通过,,轻微,1
2026000046,路框差,人行道,爱南路,10.4,作业车,2026-08-18,周二,审核通过,,轻微,0
2026000047,路框差,人行道,龙翔大道,15.8,作业车,2026-08-22,周六,审核通过,,轻微,0
2026000048,路框差,人行道,沙荷路,12.4,两轮车,2026-08-03,周一,驳回,AI误报,轻微,0
2026000049,路框差,人行道,黄阁路,11.2,众源车,2026-08-07,周五,审核通过,,轻微,3
2026000050,路框差,人行道,龙岗大道,32.6,作业车,2026-08-19,周三,审核通过,,轻微,0
2026000051,路框差,人行道,红棉路,18.2,两轮车,2026-08-26,周三,审核通过,,轻微,1
2026000052,路框差,人行道,龙岗大道,32.6,众源车,2026-08-21,周五,审核通过,,轻微,13
2026000053,路框差,人行道,吉祥路,8.6,四轮专车,2026-08-09,周日,审核通过,,轻微,2
2026000054,路框差,人行道,黄阁路,11.2,四轮专车,2026-09-02,周三,审核通过,,轻微,2
2026000055,路框差,人行道,清林路,9.8,两轮车,2026-08-18,周二,审核通过,,轻微,0
2026000056,路框差,人行道,吉祥路,8.6,四轮专车,2026-08-13,周四,驳回,AI误报,轻微,1
2026000057,路框差,人行道,深惠路,21.5,两轮车,2026-08-25,周二,审核通过,,轻微,1
2026000058,路框差,人行道,布龙路,19.6,两轮车,2026-08-03,周一,审核通过,,轻微,1
2026000059,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-24,周一,审核通过,,轻微,1
2026000060,路框差,人行道,龙岗大道,32.6,作业车,2026-09-01,周二,审核通过,,轻微,0
2026000061,路框差,人行道,黄阁路,11.2,众源车,2026-08-14,周五,审核通过,,轻微,4
2026000062,路框差,人行道,深惠路,21.5,众源车,2026-08-21,周五,驳回,AI误报,轻微,11
2026000063,路框差,人行道,布龙路,19.6,两轮车,2026-08-28,周五,审核通过,,轻微,0
2026000064,路框差,人行道,吉祥路,8.6,作业车,2026-08-21,周五,审核通过,,轻微,0
2026000065,路框差,人行道,黄阁路,11.2,四轮专车,2026-09-01,周二,驳回,框选不规范,轻微,2
2026000066,路框差,人行道,布龙路,19.6,作业车,2026-08-29,周六,审核通过,,轻微,0
2026000067,路框差,人行道,布龙路,19.6,两轮车,2026-08-11,周二,审核通过,,轻微,1
2026000068,路框差,人行道,沙荷路,12.4,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000069,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-24,周一,审核通过,,轻微,2
2026000070,路框差,人行道,深惠路,21.5,众源车,2026-08-28,周五,审核通过,,轻微,3
2026000071,路框差,人行道,红棉路,18.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000072,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-30,周日,审核通过,,轻微,0
2026000073,路框差,人行道,碧新路,9.1,四轮专车,2026-08-06,周四,审核通过,,轻微,1
2026000074,路框差,人行道,红棉路,18.2,作业车,2026-08-18,周二,审核通过,,轻微,0
2026000075,路框差,人行道,龙岗大道,32.6,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000076,路框差,人行道,沙荷路,12.4,作业车,2026-08-26,周三,审核通过,,轻微,0
2026000077,路框差,人行道,沙荷路,12.4,四轮专车,2026-09-03,周四,驳回,模糊不清,轻微,2
2026000078,路框差,人行道,黄阁路,11.2,两轮车,2026-08-31,周一,审核通过,,轻微,1
2026000079,路框差,人行道,布龙路,19.6,作业车,2026-08-14,周五,审核通过,,轻微,0
2026000080,路框差,人行道,吉祥路,8.6,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000081,路框差,人行道,黄阁路,11.2,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026000082,路框差,人行道,龙翔大道,15.8,作业车,2026-08-31,周一,审核通过,,轻微,0
2026000083,路框差,人行道,爱南路,10.4,两轮车,2026-08-12,周三,审核通过,,轻微,0
2026000084,路框差,人行道,龙岗大道,32.6,作业车,2026-08-13,周四,审核通过,,轻微,0
2026000085,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-15,周六,审核通过,,轻微,1
2026000086,路框差,人行道,龙岗大道,32.6,两轮车,2026-09-01,周二,审核通过,,轻微,1
2026000087,路框差,人行道,清林路,9.8,四轮专车,2026-09-03,周四,审核通过,,轻微,2
2026000088,路框差,人行道,深惠路,21.5,作业车,2026-08-12,周三,审核通过,,轻微,0
2026000089,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-23,周日,审核通过,,轻微,1
2026000090,路框差,人行道,深惠路,21.5,四轮专车,2026-08-10,周一,审核通过,,轻微,1
2026000091,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-17,周一,审核通过,,轻微,0
2026000092,路框差,人行道,清林路,9.8,作业车,2026-08-26,周三,审核通过,,轻微,0
2026000093,路框差,人行道,深惠路,21.5,作业车,2026-08-19,周三,审核通过,,轻微,0
2026000094,路框差,人行道,龙翔大道,15.8,两轮车,2026-09-01,周二,审核通过,,轻微,0
2026000095,路框差,人行道,沙荷路,12.4,两轮车,2026-08-19,周三,审核通过,,轻微,0
2026000096,路框差,人行道,坂雪岗大道,14.2,众源车,2026-08-28,周五,驳回,模糊不清,轻微,12
2026000097,路框差,人行道,龙翔大道,15.8,四轮专车,2026-08-17,周一,审核通过,,轻微,1
2026000098,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-26,周三,审核通过,,严重,0
2026000099,路框差,人行道,龙岗大道,32.6,众源车,2026-08-28,周五,驳回,AI误报,严重,5
2026000100,路框差,人行道,植物园路,7.5,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026000101,路框差,人行道,新生路,8.2,作业车,2026-08-13,周四,审核通过,,轻微,0
2026000102,路框差,人行道,清林路,9.8,作业车,2026-08-20,周四,审核通过,,轻微,0
2026000103,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-25,周二,审核通过,,轻微,1
2026000104,路框差,人行道,鹏达路,6.8,作业车,2026-08-31,周一,审核通过,,轻微,0
2026000105,路框差,人行道,吉祥路,8.6,众源车,2026-08-07,周五,审核通过,,轻微,5
2026000106,路框差,人行道,清林路,9.8,作业车,2026-08-04,周二,审核通过,,轻微,0
2026000107,路框差,人行道,深惠路,21.5,作业车,2026-08-05,周三,审核通过,,轻微,0
2026000108,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-07,周五,审核通过,,轻微,1
2026000109,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-11,周二,审核通过,,轻微,2
2026000110,路框差,人行道,新生路,8.2,四轮专车,2026-08-11,周二,审核通过,,轻微,2
2026000111,路框差,人行道,深惠路,21.5,作业车,2026-08-06,周四,审核通过,,轻微,0
2026000112,路框差,人行道,红棉路,18.2,作业车,2026-09-02,周三,审核通过,,轻微,0
2026000113,路框差,人行道,沙荷路,12.4,两轮车,2026-08-28,周五,审核通过,,轻微,1
2026000114,路框差,人行道,坂雪岗大道,14.2,众源车,2026-08-07,周五,驳回,超过时效,轻微,7
2026000115,路框差,人行道,红棉路,18.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000116,路框差,人行道,碧新路,9.1,两轮车,2026-08-15,周六,驳回,AI误报,轻微,0
2026000117,路框差,人行道,吉祥路,8.6,作业车,2026-08-30,周日,审核通过,,轻微,0
2026000118,路框差,人行道,清林路,9.8,两轮车,2026-08-04,周二,审核通过,,轻微,1
2026000119,路框差,人行道,深惠路,21.5,作业车,2026-08-30,周日,驳回,模糊不清,轻微,0
2026000120,路框差,人行道,坂雪岗大道,14.2,众源车,2026-08-28,周五,审核通过,,轻微,13
2026000121,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-19,周三,审核通过,,轻微,0
2026000122,路框差,人行道,黄阁路,11.2,两轮车,2026-08-21,周五,审核通过,,轻微,0
2026000123,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-09,周日,审核通过,,轻微,1
2026000124,路框差,人行道,龙翔大道,15.8,作业车,2026-08-06,周四,审核通过,,轻微,0
2026000125,路框差,人行道,龙岗大道,32.6,作业车,2026-08-16,周日,驳回,AI误报,轻微,0
2026000126,路框差,人行道,深惠路,21.5,两轮车,2026-08-31,周一,驳回,框选不规范,轻微,1
2026000127,路框差,人行道,沙荷路,12.4,两轮车,2026-08-21,周五,驳回,模糊不清,轻微,1
2026000128,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-31,周一,审核通过,,轻微,0
2026000129,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-14,周五,审核通过,,轻微,0
2026000130,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-22,周六,审核通过,,轻微,0
2026000131,路框差,人行道,红棉路,18.2,众源车,2026-08-28,周五,审核通过,,轻微,13
2026000132,路框差,人行道,新生路,8.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000133,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026000134,路框差,人行道,龙翔大道,15.8,众源车,2026-08-07,周五,审核通过,,轻微,11
2026000135,路框差,人行道,坂雪岗大道,14.2,众源车,2026-08-07,周五,驳回,模糊不清,轻微,3
2026000136,路框差,人行道,龙岗大道,32.6,作业车,2026-08-18,周二,审核通过,,轻微,0
2026000137,路框差,人行道,植物园路,7.5,作业车,2026-08-08,周六,审核通过,,轻微,0
2026000138,路框差,人行道,深惠路,21.5,两轮车,2026-08-09,周日,驳回,框选不规范,轻微,0
2026000139,路框差,人行道,吉祥路,8.6,作业车,2026-08-31,周一,审核通过,,轻微,0
2026000140,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-14,周五,审核通过,,轻微,1
2026000141,路框差,人行道,深惠路,21.5,两轮车,2026-09-01,周二,审核通过,,轻微,0
2026000142,路框差,人行道,深惠路,21.5,作业车,2026-08-14,周五,审核通过,,轻微,0
2026000143,路框差,人行道,植物园路,7.5,作业车,2026-08-11,周二,驳回,AI误报,轻微,0
2026000144,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-21,周五,审核通过,,轻微,1
2026000145,路框差,人行道,深惠路,21.5,四轮专车,2026-08-12,周三,审核通过,,轻微,1
2026000146,路框差,人行道,沙荷路,12.4,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000147,路框差,人行道,沙荷路,12.4,作业车,2026-08-17,周一,驳回,框选不规范,轻微,0
2026000148,路框差,人行道,布龙路,19.6,作业车,2026-08-29,周六,审核通过,,轻微,0
2026000149,路框差,人行道,深惠路,21.5,两轮车,2026-08-29,周六,审核通过,,轻微,1
2026000150,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-23,周日,审核通过,,轻微,1
2026000151,路框差,人行道,爱南路,10.4,四轮专车,2026-09-02,周三,审核通过,,轻微,1
2026000152,路框差,人行道,新生路,8.2,众源车,2026-08-14,周五,驳回,超过时效,轻微,5
2026000153,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-23,周日,审核通过,,轻微,1
2026000154,路框差,人行道,布龙路,19.6,四轮专车,2026-08-15,周六,审核通过,,轻微,2
2026000155,路框差,人行道,龙岗大道,32.6,作业车,2026-08-16,周日,审核通过,,轻微,0
2026000156,路框差,人行道,黄阁路,11.2,两轮车,2026-08-26,周三,审核通过,,轻微,0
2026000157,路框差,人行道,沙荷路,12.4,两轮车,2026-08-13,周四,审核通过,,轻微,1
2026000158,路框差,人行道,黄阁路,11.2,四轮专车,2026-08-10,周一,审核通过,,轻微,2
2026000159,路框差,人行道,清林路,9.8,四轮专车,2026-08-18,周二,审核通过,,轻微,2
2026000160,路框差,人行道,吉祥路,8.6,作业车,2026-08-05,周三,审核通过,,轻微,0
2026000161,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-21,周五,审核通过,,轻微,2
2026000162,路框差,人行道,新生路,8.2,四轮专车,2026-08-25,周二,审核通过,,轻微,2
2026000163,路框差,人行道,红棉路,18.2,众源车,2026-08-21,周五,审核通过,,轻微,7
2026000164,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-16,周日,审核通过,,轻微,1
2026000165,路框差,人行道,布龙路,19.6,众源车,2026-08-07,周五,审核通过,,轻微,8
2026000166,路框差,人行道,龙翔大道,15.8,四轮专车,2026-08-06,周四,审核通过,,轻微,2
2026000167,路框差,人行道,爱南路,10.4,两轮车,2026-08-07,周五,驳回,AI误报,轻微,1
2026000168,路框差,人行道,爱南路,10.4,作业车,2026-08-18,周二,审核通过,,轻微,0
2026000169,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-20,周四,审核通过,,轻微,2
2026000170,路框差,人行道,植物园路,7.5,四轮专车,2026-08-20,周四,审核通过,,轻微,2
2026000171,路框差,人行道,沙荷路,12.4,两轮车,2026-08-05,周三,审核通过,,轻微,1
2026000172,路框差,人行道,布龙路,19.6,众源车,2026-08-14,周五,驳回,超过时效,轻微,11
2026000173,路框差,人行道,红棉路,18.2,作业车,2026-08-06,周四,审核通过,,轻微,0
2026000174,路框差,人行道,植物园路,7.5,两轮车,2026-08-28,周五,驳回,AI误报,轻微,0
2026000175,路框差,人行道,龙岗大道,32.6,作业车,2026-08-23,周日,审核通过,,轻微,0
2026000176,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-18,周二,审核通过,,轻微,1
2026000177,路框差,人行道,深惠路,21.5,作业车,2026-08-03,周一,审核通过,,轻微,0
2026000178,路框差,人行道,鹏达路,6.8,作业车,2026-08-03,周一,审核通过,,轻微,0
2026000179,路框差,人行道,新生路,8.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000180,路框差,人行道,吉祥路,8.6,作业车,2026-08-30,周日,审核通过,,轻微,0
2026000181,路框差,人行道,新生路,8.2,作业车,2026-08-06,周四,审核通过,,轻微,0
2026000182,路框差,人行道,新生路,8.2,两轮车,2026-08-21,周五,驳回,框选不规范,轻微,1
2026000183,路框差,人行道,布龙路,19.6,作业车,2026-08-21,周五,审核通过,,轻微,0
2026000184,路框差,人行道,沙荷路,12.4,作业车,2026-09-02,周三,审核通过,,轻微,0
2026000185,路框差,人行道,吉祥路,8.6,作业车,2026-08-12,周三,审核通过,,轻微,0
2026000186,路框差,人行道,黄阁路,11.2,作业车,2026-08-11,周二,审核通过,,严重,0
2026000187,路框差,人行道,龙翔大道,15.8,作业车,2026-08-22,周六,审核通过,,轻微,0
2026000188,路框差,人行道,龙岗大道,32.6,众源车,2026-08-07,周五,审核通过,,轻微,13
2026000189,路框差,人行道,清林路,9.8,两轮车,2026-08-08,周六,审核通过,,轻微,0
2026000190,路框差,人行道,沙荷路,12.4,作业车,2026-08-24,周一,审核通过,,轻微,0
2026000191,路框差,人行道,植物园路,7.5,两轮车,2026-09-02,周三,审核通过,,轻微,0
2026000192,路框差,人行道,红棉路,18.2,作业车,2026-09-01,周二,审核通过,,轻微,0
2026000193,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-06,周四,驳回,框选不规范,轻微,1
2026000194,路框差,人行道,爱南路,10.4,众源车,2026-08-28,周五,审核通过,,轻微,12
2026000195,路框差,人行道,龙岗大道,32.6,作业车,2026-08-25,周二,审核通过,,轻微,0
2026000196,路框差,人行道,红棉路,18.2,作业车,2026-08-23,周日,审核通过,,轻微,0
2026000197,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-17,周一,审核通过,,轻微,0
2026000198,路框差,人行道,碧新路,9.1,作业车,2026-08-28,周五,审核通过,,轻微,0
2026000199,路框差,人行道,红棉路,18.2,作业车,2026-08-21,周五,驳回,AI误报,轻微,0
2026000200,路框差,人行道,沙荷路,12.4,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026000201,路框差,人行道,吉祥路,8.6,两轮车,2026-08-07,周五,审核通过,,轻微,0
2026000202,路框差,人行道,鹏达路,6.8,作业车,2026-08-26,周三,审核通过,,轻微,0
2026000203,路框差,人行道,深惠路,21.5,四轮专车,2026-08-15,周六,审核通过,,轻微,2
2026000204,路框差,人行道,龙岗大道,32.6,作业车,2026-08-21,周五,审核通过,,轻微,0
2026000205,路框差,人行道,龙岗大道,32.6,作业车,2026-08-28,周五,审核通过,,轻微,0
2026000206,路框差,人行道,红棉路,18.2,两轮车,2026-08-11,周二,驳回,框选不规范,轻微,1
2026000207,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-31,周一,驳回,模糊不清,轻微,1
2026000208,路框差,人行道,黄阁路,11.2,两轮车,2026-08-10,周一,驳回,AI误报,轻微,0
2026000209,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-17,周一,审核通过,,轻微,0
2026000210,路框差,人行道,布龙路,19.6,两轮车,2026-08-12,周三,审核通过,,轻微,1
2026000211,路框差,人行道,清林路,9.8,四轮专车,2026-08-25,周二,驳回,AI误报,轻微,2
2026000212,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-06,周四,驳回,超过时效,轻微,0
2026000213,路框差,人行道,红棉路,18.2,作业车,2026-08-13,周四,审核通过,,严重,0
2026000214,路框差,人行道,爱南路,10.4,四轮专车,2026-08-11,周二,审核通过,,轻微,2
2026000215,路框差,人行道,清林路,9.8,作业车,2026-08-26,周三,审核通过,,轻微,0
2026000216,路框差,人行道,清林路,9.8,四轮专车,2026-08-05,周三,审核通过,,轻微,1
2026000217,路框差,人行道,龙岗大道,32.6,作业车,2026-08-23,周日,审核通过,,轻微,0
2026000218,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-24,周一,审核通过,,轻微,0
2026000219,路框差,人行道,新生路,8.2,两轮车,2026-08-26,周三,审核通过,,轻微,1
2026000220,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-19,周三,审核通过,,轻微,1
2026000221,路框差,人行道,沙荷路,12.4,作业车,2026-08-23,周日,驳回,AI误报,轻微,0
2026000222,路框差,人行道,深惠路,21.5,作业车,2026-08-07,周五,审核通过,,轻微,0
2026000223,路框差,人行道,黄阁路,11.2,四轮专车,2026-08-20,周四,审核通过,,轻微,1
2026000224,路框差,人行道,植物园路,7.5,众源车,2026-08-28,周五,驳回,模糊不清,轻微,11
2026000225,路框差,人行道,沙荷路,12.4,两轮车,2026-08-10,周一,审核通过,,轻微,1
2026000226,路框差,人行道,新生路,8.2,作业车,2026-08-08,周六,审核通过,,轻微,0
2026000227,路框差,人行道,龙岗大道,32.6,作业车,2026-08-12,周三,审核通过,,轻微,0
2026000228,路框差,人行道,布龙路,19.6,两轮车,2026-08-18,周二,审核通过,,轻微,0
2026000229,路框差,人行道,黄阁路,11.2,作业车,2026-08-04,周二,驳回,超过时效,轻微,0
2026000230,路框差,人行道,龙岗大道,32.6,四轮专车,2026-09-01,周二,审核通过,,轻微,1
2026000231,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-23,周日,审核通过,,轻微,0
2026000232,路框差,人行道,龙翔大道,15.8,作业车,2026-08-27,周四,驳回,AI误报,轻微,0
2026000233,路框差,人行道,鹏达路,6.8,作业车,2026-08-30,周日,审核通过,,轻微,0
2026000234,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-21,周五,审核通过,,轻微,0
2026000235,路框差,人行道,植物园路,7.5,两轮车,2026-08-27,周四,审核通过,,轻微,0
2026000236,路框差,人行道,爱南路,10.4,两轮车,2026-08-21,周五,审核通过,,轻微,1
2026000237,路框差,人行道,深惠路,21.5,作业车,2026-08-27,周四,审核通过,,轻微,0
2026000238,路框差,人行道,吉祥路,8.6,两轮车,2026-08-05,周三,驳回,模糊不清,轻微,1
2026000239,路框差,人行道,龙岗大道,32.6,作业车,2026-08-29,周六,审核通过,,轻微,0
2026000240,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-16,周日,驳回,框选不规范,轻微,0
2026000241,路框差,人行道,爱南路,10.4,四轮专车,2026-08-18,周二,审核通过,,轻微,1
2026000242,路框差,人行道,吉祥路,8.6,作业车,2026-08-12,周三,审核通过,,轻微,0
2026000243,路框差,人行道,红棉路,18.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026000244,路框差,人行道,布龙路,19.6,四轮专车,2026-08-18,周二,审核通过,,轻微,2
2026000245,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-14,周五,审核通过,,轻微,0
2026000246,路框差,人行道,碧新路,9.1,作业车,2026-09-02,周三,审核通过,,轻微,0
2026000247,路框差,人行道,坂雪岗大道,14.2,四轮专车,2026-08-19,周三,审核通过,,轻微,2
2026000248,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-28,周五,审核通过,,轻微,0
2026000249,路框差,人行道,龙翔大道,15.8,众源车,2026-08-21,周五,审核通过,,轻微,6
2026000250,路框差,人行道,深惠路,21.5,两轮车,2026-08-22,周六,审核通过,,严重,1
2026000251,路框差,人行道,黄阁路,11.2,两轮车,2026-08-13,周四,审核通过,,轻微,0
2026000252,路框差,人行道,碧新路,9.1,作业车,2026-08-25,周二,审核通过,,轻微,0
2026000253,路框差,人行道,深惠路,21.5,作业车,2026-08-03,周一,审核通过,,轻微,0
2026000254,路框差,人行道,红棉路,18.2,两轮车,2026-08-26,周三,驳回,模糊不清,轻微,1
2026000255,路框差,人行道,红棉路,18.2,作业车,2026-08-03,周一,审核通过,,轻微,0
2026000256,路框差,人行道,清林路,9.8,两轮车,2026-08-17,周一,审核通过,,轻微,0
2026000257,路框差,人行道,爱南路,10.4,作业车,2026-08-11,周二,审核通过,,轻微,0
2026000258,路框差,人行道,龙岗大道,32.6,作业车,2026-08-30,周日,审核通过,,轻微,0
2026000259,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-23,周日,审核通过,,轻微,1
2026000260,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-22,周六,审核通过,,轻微,1
2026000261,路框差,人行道,龙岗大道,32.6,作业车,2026-08-23,周日,审核通过,,轻微,0
2026000262,路框差,人行道,爱南路,10.4,四轮专车,2026-08-26,周三,审核通过,,轻微,2
2026000263,路框差,人行道,沙荷路,12.4,作业车,2026-08-08,周六,审核通过,,轻微,0
2026000264,路框差,人行道,龙岗大道,32.6,作业车,2026-08-03,周一,审核通过,,轻微,0
2026000265,路框差,人行道,新生路,8.2,众源车,2026-08-07,周五,审核通过,,轻微,6
2026000266,路框差,人行道,龙岗大道,32.6,众源车,2026-08-14,周五,审核通过,,轻微,13
2026000267,路框差,人行道,沙荷路,12.4,作业车,2026-08-24,周一,审核通过,,轻微,0
2026000268,路框差,人行道,龙岗大道,32.6,作业车,2026-08-14,周五,审核通过,,轻微,0
2026000269,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-30,周日,审核通过,,严重,1
2026000270,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-04,周二,审核通过,,严重,0
2026000271,路框差,人行道,龙岗大道,32.6,作业车,2026-08-17,周一,审核通过,,轻微,0
2026000272,路框差,人行道,红棉路,18.2,作业车,2026-08-23,周日,审核通过,,轻微,0
2026000273,路框差,人行道,龙岗大道,32.6,作业车,2026-08-17,周一,审核通过,,轻微,0
2026000274,路框差,人行道,坂雪岗大道,14.2,四轮专车,2026-09-01,周二,审核通过,,轻微,1
2026000275,路框差,人行道,黄阁路,11.2,两轮车,2026-08-03,周一,驳回,模糊不清,轻微,1
2026000276,路框差,人行道,龙翔大道,15.8,作业车,2026-08-26,周三,审核通过,,轻微,0
2026000277,路框差,人行道,沙荷路,12.4,作业车,2026-08-31,周一,审核通过,,轻微,0
